id,name,population,area,lat,lon
5306,Bocs,2594,2432,48.0385,20.9716
5315,Borsodnadasd,3073,2807,48.1226,20.2453
5324,Herencseny,553,3318,47.9746,19.4726
5333,Csobad,704,1183,48.2819,21.0277
5342,Tofej,658,1532,46.6676,16.8
5351,Kara,28,537,46.6173,18.0107
5360,Csakbereny,1142,4137,47.3489,18.3286
5379,Csanadpalota,2638,7792,46.244,20.7234
5388,Sumegpraga,569,579,46.9411,17.2774
5397,Pusztafoldvar,1472,5713,46.5316,20.806
5403,Babarc,723,1885,46.004,18.5538
5412,Magyarmecske,301,1195,45.9449,17.9642
5421,Kiralyszentistvan,473,891,47.1093,18.0437
5430,Magyarhertelend,573,1616,46.1892,18.1515
5449,Komarom,19126,6991,47.7417,18.1218
5458,Kenezlo,1065,2296,48.198,21.5325
5476,Bo,777,1065,47.3691,16.8155
5485,Baranyaszentgyorgy,134,727,46.2441,18.0154
5494,Gadna,287,809,48.4007,20.9296
5500,Somogyaracs,165,770,46.0567,17.3917
5519,Siklos,8912,5092,45.8521,18.2984
5528,Szoreny,58,441,45.9682,17.6827
5537,Kallosd,92,541,46.8716,17.0623
5546,Zakanyszek,2731,6607,46.2741,19.8885
5555,Nemeshany,361,1050,47.0695,17.3641
5564,Lovas,442,595,46.9934,17.9588
5573,Derecske,8385,10359,47.3539,21.5709
5582,Nagycsecs,748,983,47.9589,20.9517
5591,Izsofalva,1713,941,48.3097,20.6531
5607,Szederkeny,1677,1433,45.9995,18.4536
5616,Hetefejercse,255,1545,48.1279,22.4677
5625,Revfulop,1084,1036,46.8283,17.6304
5634,Kaptalantoti,477,1173,46.8498,17.5137
5643,Szilvasvarad,1575,3782,48.1033,20.3871
5652,Nemesgorzsony,639,1925,47.3967,17.3607
5661,Ozora,1574,5955,46.7527,18.3997
5670,Gegeny,1908,2344,48.1445,21.949
5689,Mezokomarom,895,2905,46.829,18.2898
5698,Vackisujfalu,441,1070,47.7044,19.349
5704,Pethohenye,400,887,46.8769,16.9188
5713,Harasztifalu,151,789,47.0496,16.551
5722,Kisbeszterce,73,747,46.2058,18.0344
5731,Gerjen,1201,3628,46.4936,18.9032
5740,Koszegdoroszlo,233,965,47.3454,16.5423
5759,Vecs,622,2566,47.8079,20.1673
5768,Letavertes,7061,11661,47.3853,21.8764
5777,Szaszberek,993,3922,47.3107,20.0933
5786,Ladanybene,1603,4074,47.035,19.4557
5795,Cserkeszolo,2237,3070,46.8675,20.1951
5801,Gavavencsello,3434,6683,48.161,21.5934
5810,Szokedencs,213,1869,46.5547,17.2493
5829,Val,2466,4048,47.3665,18.6776
5838,Balatonalmadi,9060,4988,47.0303,18.0156
5847,Harsany,1996,3653,47.9684,20.7405
5856,Kunadacs,1451,8990,46.9562,19.2946
5865,Egerlovo,489,1978,47.7195,20.6223
5874,Szajol,3736,3697,47.1757,20.3006
5883,Palotas,1575,1707,47.7954,19.5955
5892,Vokany,817,1709,45.9115,18.3362
5917,Vacduka,1646,840,47.7446,19.2146
5926,Bodvaszilas,1024,1922,48.5368,20.7316
5935,Karacsond,2830,3160,47.7281,20.0273
5944,Bakonyszentlaszlo,1682,3851,47.3907,17.8043
5953,Kissomlyo,210,858,47.1441,17.1025
5962,Magyarcsanad,1376,4802,46.1697,20.6099
5971,Csokonyavisonta,1645,8129,46.0817,17.4445
5980,Egyhazasgerge,704,1537,48.1788,19.6469
5999,Karasz,323,802,46.2674,18.318
6008,Zamardi,2501,4515,46.8801,17.9459
6017,Magyarkeszi,1097,3816,46.7487,18.2254
6035,Felsopakony,3661,1533,47.3433,19.2362
6044,Kunbaja,1454,3372,46.0883,19.4241
6053,Ragaly,599,1554,48.4088,20.5168
6062,Ujpetre,935,1671,45.9367,18.3636
6071,Kemenfa,79,1489,46.8398,16.6376
6080,Adand,2082,2952,46.857,18.1541
6099,Ellend,177,799,46.0591,18.3758
6105,Kalmancsa,584,4885,46.068,17.6169
6114,Fule,844,3032,47.0527,18.2459
6123,Doveny,271,1165,48.3464,20.5441
6132,Csapi,247,1011,46.5321,17.0865
6141,Patalom,304,668,46.4489,17.9207
6169,Nemesapati,493,1037,46.8714,16.9478
6178,Eszteregnye,637,2009,46.4703,16.8842
